City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Axim,GH,79.36,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
4,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
5,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Alofi,NU,86.0,clear sky,-19.0595,-169.9187,Taloa Heights
9,Rikitea,PF,79.09,broken clouds,-23.1203,-134.9692,Pension Maro'i
10,Kirakira,SB,81.64,broken clouds,-10.4544,161.9205,SanBiz Lodge
12,Tirumullaivasal,IN,79.25,scattered clouds,11.2333,79.8333,Hajaali
16,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
23,Meulaboh,ID,74.48,overcast clouds,4.1363,96.1285,Kost Pria
37,Victoria,HK,79.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
39,Atar,MR,84.7,overcast clouds,20.5169,-13.0499,Oumou Elghoura
41,Atuona,PF,80.28,light rain,-9.8,-139.0333,Villa Enata
42,Maceio,BR,77.0,few clouds,-9.6658,-35.7353,Poutur Pousada
43,Davila,PH,77.0,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
44,Kapaa,US,80.6,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
45,Saint George,US,72.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
50,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
53,San Policarpo,PH,81.43,overcast clouds,12.1791,125.5072,JM Lodge
55,Kavaratti,IN,82.94,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
58,Robertsport,LR,79.84,broken clouds,6.7533,-11.3686,Kwepunha Retreat
61,Hobart,AU,73.4,light rain,-42.8794,147.3294,Mantra on Collins Hobart
63,Ukiah,US,80.6,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
67,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
68,Waimana,NZ,71.01,scattered clouds,-38.15,177.0833,Tanatana Marae
70,Hervey Bay,AU,72.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
71,Souillac,MU,75.2,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
72,Arlit,NE,72.66,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
73,Pisco,PE,70.0,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
75,Salinopolis,BR,77.63,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
82,Carauari,BR,72.86,overcast clouds,-4.8828,-66.8958,Hotel Fellip
83,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
84,Bowen,AU,75.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
85,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
86,New Norfolk,AU,73.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
88,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
91,Chechat,IN,72.82,clear sky,24.7667,75.8833,"Shri raghunath palace, hotal & restrorent"
92,Portland,US,70.0,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
97,Cockburn Town,TC,77.49,clear sky,21.4612,-71.1419,Osprey Beach Hotel
98,Wawa,NG,85.08,broken clouds,9.9022,4.4192,
101,Fare,PF,82.53,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
103,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
104,Mount Isa,AU,84.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
109,Omboue,GA,73.36,overcast clouds,-1.5746,9.2618,Hotel Olako
110,Sao Felix Do Xingu,BR,73.08,light rain,-6.6447,-51.995,Rio Xingu Camping
111,Pitimbu,BR,80.6,few clouds,-7.4706,-34.8086,Reserva do Abiaí
117,Sao Filipe,CV,71.91,scattered clouds,14.8961,-24.4956,Tortuga B&B
119,Kavieng,PG,83.8,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
122,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Bombay,IN,80.6,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
128,San Patricio,US,73.4,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
131,Lompoc,US,75.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
132,Bodden Town,KY,81.0,scattered clouds,19.2833,-81.25,Will T Place
133,Iralaya,HN,79.75,few clouds,15.0,-83.2333,Iglesia morava renovada
134,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
135,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
145,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
146,Tremedal,BR,71.6,broken clouds,-14.9758,-41.4108,Pousada Estillos
149,Akyab,MM,80.04,broken clouds,20.15,92.9,Hotel Memory
150,Forbesganj,IN,71.06,clear sky,26.3,87.25,होटल
152,Grand-Santi,GF,72.0,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
155,Eureka,US,73.4,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
157,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
161,Garissa,KE,79.02,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
162,Carnarvon,AU,71.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
