city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Samarai,-10.6167,150.6667,83.95,74,93,8.99,PG,overcast clouds
1,Yellowknife,62.456,-114.3525,26.6,50,75,8.05,CA,broken clouds
2,Sao Joao Da Barra,-21.6403,-41.0511,72.84,88,47,8.14,BR,scattered clouds
3,Iqaluit,63.7506,-68.5145,-4.0,77,75,23.02,CA,snow
4,Arraial Do Cabo,-22.9661,-42.0278,75.27,76,31,15.17,BR,scattered clouds
5,Bambous Virieux,-20.3428,57.7575,77.0,94,75,3.44,MU,light rain
6,Castro,-24.7911,-50.0119,55.56,72,0,2.24,BR,clear sky
7,Bluff,-46.6,168.3333,60.01,74,54,3.0,NZ,broken clouds
8,Nanortalik,60.1432,-45.2371,33.37,88,82,8.05,GL,broken clouds
9,Yar-Sale,66.8333,70.8333,8.96,92,100,21.79,RU,overcast clouds
10,Fort-Shevchenko,44.5086,50.263,46.35,47,2,17.45,KZ,clear sky
11,Ushuaia,-54.8,-68.3,46.4,57,0,4.65,AR,clear sky
12,Bosobolo,4.1833,19.9,74.5,70,61,3.94,CD,broken clouds
13,Venice,27.0998,-82.4543,78.01,94,75,5.75,US,mist
14,Rikitea,-23.1203,-134.9692,78.69,71,38,15.37,PF,light rain
15,Jamestown,42.097,-79.2353,42.01,60,20,9.22,US,few clouds
16,Seymchan,62.8833,152.4333,15.4,74,95,5.41,RU,overcast clouds
17,Aklavik,68.2191,-135.0107,-0.4,65,90,10.36,CA,snow
18,Wanning,18.8003,110.3967,79.05,79,28,12.88,CN,scattered clouds
19,Bohicon,7.1783,2.0667,78.76,78,39,5.32,BJ,scattered clouds
20,Upata,8.0086,-62.3989,74.7,65,91,5.84,VE,overcast clouds
21,Vaini,-21.2,-175.2,86.0,74,75,10.36,TO,broken clouds
22,Maraa,-1.8333,-65.3667,73.92,97,89,2.01,BR,overcast clouds
23,Barreirinha,-2.7933,-57.07,74.26,97,96,1.41,BR,overcast clouds
24,Cherskiy,68.75,161.3,8.28,71,100,1.32,RU,overcast clouds
25,Iquitos,-3.7481,-73.2472,77.0,88,40,2.3,PE,scattered clouds
26,Carnarvon,-24.8667,113.6333,78.8,83,0,5.75,AU,clear sky
27,Codrington,-38.2667,141.9667,75.13,36,41,10.65,AU,scattered clouds
28,Bredasdorp,-34.5322,20.0403,60.8,82,98,3.44,ZA,light rain
29,Naze,28.3667,129.4833,73.4,83,75,13.8,JP,broken clouds
30,Faanui,-16.4833,-151.75,82.69,70,76,5.84,PF,broken clouds
31,Dillon,34.4166,-79.3712,66.99,100,90,8.05,US,overcast clouds
32,Albany,42.6001,-73.9662,57.0,70,100,3.0,US,moderate rain
33,New Norfolk,-42.7826,147.0587,75.0,32,100,7.0,AU,overcast clouds
