city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Winona,US,2021=03-28 17:43:38,43.9666,-91.7668,42.01,48,1,19.57
1,Agadir,MA,2021=03-28 17:46:09,30.4202,-9.5982,78.8,31,14,3.44
2,Ushuaia,AR,2021=03-28 17:46:09,-54.8,-68.3,46.4,61,40,28.77
3,Opuwo,NA,2021=03-28 17:41:16,-18.0607,13.84,75.29,54,89,3.47
4,Pevek,RU,2021=03-28 17:45:33,69.7008,170.3133,-21.41,99,37,1.23
5,Kapaa,US,2021=03-28 17:42:22,22.0752,-159.319,73.4,68,90,19.57
6,Winona,US,2021=03-28 17:43:38,43.9666,-91.7668,42.01,48,1,19.57
7,Agadir,MA,2021=03-28 17:46:09,30.4202,-9.5982,78.8,31,14,3.44
8,Ushuaia,AR,2021=03-28 17:46:09,-54.8,-68.3,46.4,61,40,28.77
9,Opuwo,NA,2021=03-28 17:41:16,-18.0607,13.84,75.29,54,89,3.47
10,Pevek,RU,2021=03-28 17:45:33,69.7008,170.3133,-21.41,99,37,1.23
11,Kapaa,US,2021=03-28 17:42:22,22.0752,-159.319,73.4,68,90,19.57
12,Albany,US,2021=03-28 17:47:38,42.6001,-73.9662,50.0,88,100,8.9
13,Batsfjord,NO,2021=03-28 17:47:38,70.6345,29.7185,35.6,80,20,6.91
14,Busselton,AU,2021=03-28 17:47:39,-33.65,115.3333,57.0,93,0,7.67
15,Yarmouth,US,2021=03-28 17:47:39,41.7057,-70.2286,48.2,81,90,14.97
16,Port Blair,IN,2021=03-28 17:43:29,11.6667,92.75,81.79,75,89,2.77
17,Swedru,GH,2021=03-28 17:47:39,5.5371,-0.6998,84.2,65,20,5.75
18,Sept-Iles,CA,2021=03-28 17:45:44,50.2001,-66.3821,30.99,69,95,6.91
19,Kralendijk,BQ,2021=03-28 17:47:39,12.15,-68.2667,82.4,69,75,19.57
20,Qasigiannguit,GL,2021=03-28 17:47:40,68.8193,-51.1922,-7.6,45,6,2.3
21,Punta Arenas,CL,2021=03-28 17:47:40,-53.15,-70.9167,51.8,43,0,23.02
22,Merauke,ID,2021=03-28 17:47:40,-8.4667,140.3333,79.81,85,100,11.01
23,Brae,GB,2021=03-28 17:47:40,60.3964,-1.353,46.4,71,20,18.41
24,Shenjiamen,CN,2021=03-28 17:47:41,29.9576,122.298,55.63,90,0,8.32
25,Helmbrechts,DE,2021=03-28 17:47:41,50.2356,11.7159,48.2,53,0,10.36
26,Vaini,TO,2021=03-28 17:47:41,-21.2,-175.2,78.8,94,75,5.75
27,Severo-Kurilsk,RU,2021=03-28 17:47:41,50.6789,156.125,25.12,78,45,14.05
28,Longyearbyen,SJ,2021=03-28 17:43:05,78.2186,15.6401,33.8,69,20,8.05
29,Lebu,CL,2021=03-28 17:47:42,-37.6167,-73.65,63.28,68,5,15.61
30,Bambanglipuro,ID,2021=03-28 17:47:42,-7.95,110.2833,76.68,89,83,4.12
31,Dikson,RU,2021=03-28 17:47:42,73.5069,80.5464,-25.24,100,45,6.55
32,Atuona,PF,2021=03-28 17:47:42,-9.8,-139.0333,81.23,71,100,18.14
33,Touba,CI,2021=03-28 17:47:43,8.2833,-7.6833,86.74,47,82,6.6
34,Roald,NO,2021=03-28 17:47:43,62.5833,6.1333,44.6,76,75,13.8
35,Bluff,NZ,2021=03-28 17:42:47,-46.6,168.3333,52.0,98,100,4.34
36,Arraial Do Cabo,BR,2021=03-28 17:47:43,-22.9661,-42.0278,87.8,70,0,8.05
37,San Patricio,US,2021=03-28 17:47:43,28.017,-97.5169,69.8,63,75,27.63
38,Diapaga,BF,2021=03-28 17:47:44,12.0708,1.7889,92.84,9,0,7.87
